video,frame,track_id,x1,y1,x2,y2
05-26-2025-V5,150,4,828.5307544526468,371.8050645385058,857.6975282124964,440.6101290770116
05-26-2025-V5,180,4,825.2716986469303,372.4855773937027,854.7269447655639,441.9711547874055
05-26-2025-V5,210,4,822.0126428419576,373.16609024889965,851.7563613178877,443.33218049779936
05-26-2025-V5,240,4,842.1445837168385,358.31979686083866,867.2939384519051,417.32622565508643
05-26-2025-V5,270,4,843.7750361754726,355.76547425843233,868.1630649346218,412.9856487516672
05-26-2025-V5,300,4,845.4054886426114,353.21115165602595,869.0321914088333,408.6450718482479
05-26-2025-V5,330,4,847.0359411182554,350.6568290536196,869.90131787454,404.30449494482866
05-26-2025-V5,360,4,848.6663936024044,348.1025064512133,870.7704443317417,399.9639180414094
05-26-2025-V5,390,4,850.2968460950583,345.54818384880696,871.6395707804384,395.62334113799017
05-26-2025-V5,420,4,851.9272985962173,342.99386124640057,872.5086972206301,391.28276423457083
05-26-2025-V5,450,4,853.5577511058812,340.43953864399424,873.3778236523167,386.9421873311516
05-26-2025-V5,480,4,855.1882036240501,337.8852160415879,874.2469500754985,382.60161042773234
05-26-2025-V5,510,4,856.8186561507239,335.3308934391816,875.1160764901751,378.2610335243131
05-26-2025-V5,540,4,858.4491086859027,332.7765708367752,875.9852028963469,373.9204566208938
05-26-2025-V5,570,4,860.0795612295866,330.22224823436886,876.8543292940136,369.57987971747457
05-26-2025-V5,600,4,861.7100137817755,327.66792563196253,877.7234556831754,365.2393028140553
05-26-2025-V5,630,4,863.3404663424693,325.1136030295562,878.5925820638322,360.8987259106361
05-26-2025-V5,660,4,864.970918911668,322.5592804271498,879.4617084359838,356.55814900721674
05-26-2025-V5,690,4,866.6013714893719,320.0049578247435,880.3308347996307,352.2175721037975
05-26-2025-V5,720,4,868.2318240755807,317.45063522233716,881.1999611547725,347.87699520037825
05-26-2025-V5,750,4,869.8622766702945,314.8963126199308,882.0690875014093,343.536418296959
05-26-2025-V5,780,4,871.4927292735132,312.34199001752444,882.9382138395412,339.1958413935397
05-26-2025-V5,810,4,873.1231818852369,309.7876674151181,883.8073401691679,334.8552644901205
05-26-2025-V5,840,4,874.7536345054657,307.2333448127118,884.6764664902898,330.5146875867012
05-26-2025-V5,870,4,876.3840871341994,304.67902221030545,885.5455928029066,326.174110683282
05-26-2025-V5,900,4,878.0145397714382,302.12469960789906,886.4147191070186,321.83353377986265
05-26-2025-V5,930,4,879.6449924171818,299.57037700549273,887.2838454026255,317.49295687644343
05-26-2025-V5,960,4,881.2754450714306,297.0160544030864,888.1529716897275,313.15237997302415
05-26-2025-V5,990,4,882.9058977341842,294.46173180068007,889.0220979683244,308.81180306960493
05-26-2025-V5,1020,4,884.5363504054428,291.9074091982737,889.8912242384162,304.4712261661856
05-26-2025-V5,1050,4,886.1668030852065,289.35308659586735,890.7603505000031,300.1306492627664
05-26-2025-V5,1080,4,887.7972557734752,286.798763993461,891.6294767530851,295.7900723593471
